,Positions,Locations,Categories
0,"Customer Support Associate (Cape Town, South Africa)",South Africa,Customer Experience – Customer Support
1,Senior JavaScript Software Engineer,"San Francisco, CA",Engineering – Flight
2,"Senior Frontend Software Engineer, Mobile","San Francisco, CA",Engineering – Frontend
3,Account Executive - Enterprise (West Coast/North Central),Remote,Sales – Enterprise
4,Account Executive - SMB,Remote,Sales – SMB
