,Positions,Locations,Categories
0,Customer Success Engineer,Remote,Customer Success
1,"Director, Demand Generation",San Francisco,Marketing
2,Product Marketing Leader,San Francisco,Marketing
3,Director Product Manager,San Francisco,Product
4,Business Development Manager,San Francisco,Sales
5,Regional Sales Director- East,New York,Sales
6,"Tech Lead, API",San Francisco,Software Engineering
