,Positions,Locations,Categories
0,Customer Support Representative,"Atlanta, GA",Customer Success
1,Enterprise CSM Manager,"Atlanta, GA",Customer Success
2,Solutions Architect (Remote),"San Francisco, CA",Engineering
3,Design Researcher,"San Francisco, CA",Product
4,Product Manager,"San Francisco, CA",Product
5,Senior Product Designer (Remote),"San Francisco, CA",Product
