,Positions,Locations,Categories
0,Executive Buyer,"Charleston, SC",Buying
1,Customer Success Manager,"Boston, MA",Customer Success
2,Senior Software Engineer,"Boston, MA",Product and Engineering
3,Software Engineer,"Boston, MA",Product and Engineering
4,VP Marketing,"Boston, MA",Sales and Marketing
