,Positions,Locations,Categories
0,IT Manager (DC),"Washington, DC",Nava Roles - Business – Business Operations
1,"Director of Talent Acquisition (DC, NYC, SF, Remote)","Washington, DC",Nava Roles - Business – People Operations
2,Cloud Architect (DC / NY / SF / Remote / Any),Remote,Nava Roles - Engineering – Infrastructure
3,Director of Infrastructure Engineering (DC / NY / SF / Remote),Remote,Nava Roles - Engineering – Infrastructure
4,"Infrastructure Engineer - Operations (DC, SF, NYC, Remote)","Washington, DC",Nava Roles - Engineering – Infrastructure
5,"Infrastructure Engineer (DC, SF, NYC, Remote)",Remote,Nava Roles - Engineering – Infrastructure
6,Security Engineer,Remote,Nava Roles - Engineering – Security
7,"Software Engineer (DC, SF, NYC, or Remote)",Remote,Nava Roles - Engineering – Software
