,Positions,Locations,Categories
0,Assistant Controller,"San Francisco, CA",Accounting – Accounting
1,Delivery Specialist,"Oakland, CA",Operations – Delivery
2,Delivery Specialist,"Los Angeles, CA",Operations – Delivery
3,Warehouse Associate - Flex,"Oakland, CA",Operations – Fulfillment
4,Warehouse Associate - Flex,"Los Angeles, CA",Operations – Fulfillment
5,Director of Engineering,"San Francisco, CA",Engineering
6,Senior Software Engineer,"San Francisco, CA",Engineering
7,Software Engineer,"San Francisco, CA",Engineering
