,Positions,Locations,Categories
0,Customer Success Manager,"San Francisco, California",Customer Success
1,Machine Learning Engineer,Remote,Engineering
2,"Senior Software Engineer, Front End","San Francisco, California",Engineering
3,Head of Marketing,"San Francisco, California",Marketing
4,Data Analyst,"San Francisco, California",Operations
5,Product Designer,"San Diego, California",Product
