,Positions,Locations,Categories
0,Data Engineer,Nationwide,Analytics
1,Vice President of Strategic Partnerships,"Columbus, OH",Business Operations
2,Head of Site Reliability Engineering,Nationwide,Engineering
3,Senior Software Engineer,Nationwide,Engineering
4,VP of Marketing,Nationwide,Marketing
5,Member Success Representative,"Columbus, OH",Success
