,Positions,Locations,Categories
0,Business Analyst/Customer Success Manager (Bilingual Spanish/English),Remote - Houston Area Preferred,Customer Success
1,Senior Data Scientist - Computer Vision,San Francisco Bay Area,Data Science
2,Senior Data Scientist - Generalist,San Francisco Bay Area,Data Science
3,Senior Full Stack Engineer - React and Rails,San Francisco Bay Area,Engineering
4,Senior QA Automation Engineer,San Francisco Bay Area,Engineering
5,Director of Finance,San Francisco Bay Area,Management
6,Marketing Programs Manager,Remote - West Coast Preferred,Marketing
