,Positions,Locations,Categories
0,"Data Scientist, Analytics Architecture","Columbus, OH",Customer Success – Applied Data Science
1,Software Engineer - Internal Infrastructure Services,"Columbus, OH",Customer Success – Applied Engineering: Internal Infrastructure Services
2,Product Marketing Manager,"Boston, MA",Go To Market – Marketing
3,"Director, Product Operations","Boston, MA",Product Engineering – Product Management
4,"Director of Business Development, Federal Civilian Market, Public Sector",Northern Virginia,Public Sector – Public Sector
5,"Implementation Architect, Public Sector (Clearance Required)",Northern Virginia,Public Sector – Public Sector
6,"Senior Field Engineer, Public Sector",Northern Virginia,Public Sector – Public Sector
7,Research Scientist - Data Science and Risk Analysis,"Columbus, OH",Research – Research
