,Positions,Locations,Type,Categories,URL Names
51,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://lambda.breezy.hr
52,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://linear.breezy.hr
53,Account Executive,"Boston, MA",%LABEL_POSITION_TYPE_FULL_TIME%,Sales,https://linksquares.breezy.hr
54,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://metabase.breezy.hr
55,"Cambridge, MA","Cambridge, MA",%LABEL_POSITION_TYPE_FULL_TIME%,Bank Channel,https://mineraltree.breezy.hr
56,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://mobilize.breezy.hr
57,%LABEL_DEPARTMENTS%,"Chandler, AZ",%LABEL_POSITION_TYPE_CONTRACT%,Marketing,https://moov.breezy.hr
58,Cross-Platform Mobile Engineer,"Brooklyn, NY",%LABEL_POSITION_TYPE_FULL_TIME%,Technology,https://nowsta.breezy.hr
59,%LABEL_DEPARTMENTS%,"Holladay, US",%LABEL_POSITION_TYPE_FULL_TIME%,Not Specified,https://passivelogic.breezy.hr
60,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://petdesk.breezy.hr
61,%LABEL_DEPARTMENTS%,"Anywhere, CO",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://playvox.breezy.hr
62,Customer Service Representative,"toronto, ON",%LABEL_POSITION_TYPE_PART_TIME%,Customer Service,https://pop.breezy.hr
63,Writing Coach,%LABEL_POSITION_TYPE_REMOTE%,%LABEL_POSITION_TYPE_CONTRACT%,Not Specified,https://prompt.breezy.hr
64,%LABEL_DEPARTMENTS%,Remote,%LABEL_POSITION_TYPE_FULL_TIME%,IT,https://retail-zipline.breezy.hr
65,Sr. Account Executive (Germany),"Munich, DE",%LABEL_POSITION_TYPE_FULL_TIME%,Sales,https://rootstock-software.breezy.hr
66,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://sealed.breezy.hr
67,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://semrush.breezy.hr
68,%LABEL_DEPARTMENTS%,"Portland, OR",%LABEL_POSITION_TYPE_FULL_TIME%,Client Delivery,https://sheerid.breezy.hr
69,"Kansas City, MO","Kansas City, MO",%LABEL_POSITION_TYPE_PART_TIME%,Operations,https://simplifyy.breezy.hr
70,%LABEL_DEPARTMENTS%,"Charlotte, NC",%LABEL_POSITION_TYPE_FULL_TIME%,Social/Bar,https://skipper.breezy.hr
71,"Washington, DC","Washington, DC",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://sorcero.breezy.hr
72,%LABEL_DEPARTMENTS%,"Delhi/NCR, IN",%LABEL_POSITION_TYPE_CONTRACT%,Marketing,https://squad.breezy.hr
73,%LABEL_DEPARTMENTS%,"Atlanta, GA",%LABEL_POSITION_TYPE_FULL_TIME%,Marketing,https://squarepeg.breezy.hr
74,%LABEL_DEPARTMENTS%,"Boston, MA",%LABEL_POSITION_TYPE_FULL_TIME%,Sales & Success,https://stavvy.breezy.hr
75,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://swipeby.breezy.hr
76,%LABEL_DEPARTMENTS%,"Portland, OR",%LABEL_POSITION_TYPE_FULL_TIME%,Development,https://the-dyrt.breezy.hr
77,Order Fulfillment Associate (International Export),"Charlestown, MA",%LABEL_POSITION_TYPE_PART_TIME%,Shipping and Receiving,https://tive.breezy.hr
78,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://torpago.breezy.hr
79,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://turing.breezy.hr
80,%LABEL_DEPARTMENTS%,"San Francisco, CA",%LABEL_POSITION_TYPE_FULL_TIME%,Sales,https://ujet.breezy.hr
81,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://upkeep.breezy.hr
82,Sales Account Executive,"Istanbul, TR",%LABEL_POSITION_TYPE_FULL_TIME%,Sales,https://userguiding.breezy.hr
83,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://venn.breezy.hr
84,%LABEL_DEPARTMENTS%,"Bangalore, IN",%LABEL_POSITION_TYPE_CONTRACT%,Not Specified,https://volterra.breezy.hr
85,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://wayscript.breezy.hr
86,Intern: Sales & Biz Dev,"Los Angeles, CA",%LABEL_POSITION_TYPE_TEMPORARY%,Not Specified,https://whym.breezy.hr
87,"Denver, CO","Denver, CO",%LABEL_POSITION_TYPE_FULL_TIME%,Not Specified,https://wurk.breezy.hr
88,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://xerox.breezy.hr
89,%LABEL_DEPARTMENTS%,"Dublin, IE",%LABEL_POSITION_TYPE_FULL_TIME%,Customer Success,https://yembo.breezy.hr
90,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://zenysis.breezy.hr
91,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://3rein.breezy.hr
92,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://accomplice.breezy.hr
93,Senior DevOps Engineer,"Scottsdale, AZ",%LABEL_POSITION_TYPE_FULL_TIME%,Not Specified,https://axosoft.breezy.hr
94,Full stack Engineer - Rails,"Dubai, AE",%LABEL_POSITION_TYPE_FULL_TIME%,Engineering,https://beema.breezy.hr
95,%LABEL_DEPARTMENTS%,"Lviv, UA",%LABEL_POSITION_TYPE_FULL_TIME%,.NET,https://binariks.breezy.hr
96,Talented People Apply Here,"Lakewood, NJ",%LABEL_POSITION_TYPE_OTHER%,Not Specified,https://bitbean.breezy.hr
97,Project Manager (Mid)- Professional Services,"San Diego, CA",%LABEL_POSITION_TYPE_FULL_TIME%,Professional Services,https://buildfire.breezy.hr
98,%LABEL_NO_POSITIONS%,Not Specified,Not Specified,Not Specified,https://effectivesoft.breezy.hr
